Original_Filename,Matching_Filename_OR_SC,Alternate_Method,Method_Argument,Similarity_to_Fort
forest\forest_s1a.bmp, forest_s1a.png, , ,99.609375
forest\forest_s1b.bmp, forest_s1a.png, , ,99.609375
forest\hill_1a.bmp, hill_1af.png, , ,100
forest\hill_1an.bmp, hill_1an.png, , ,99.8046875
forest\hill_1ar.bmp, hill_1a.png, , ,100
forest\hill_1b.bmp, hill_1bf.png, , ,99.8046875
forest\hill_1bn.bmp, hill_1bn.png, , ,100
forest\hill_1br.bmp, hill_1b.png, , ,99.609375
forest\hill_1c.bmp, hill_1bf.png, , ,99.8046875
forest\hill_1cn.bmp, hill_1bn.png, , ,100
forest\hill_1cr.bmp, hill_1b.png, , ,99.609375
forest\moon_1a.bmp, moon_1a.png, , ,99.8046875
forest\moon_2a.bmp, moon_2a.png, , ,99.8046875
forest\o_beach_1a.bmp, o_beach_1ac.png, , ,99.609375
forest\o_beach_1b.bmp, o_beach_1ac.png, , ,99.609375
forest\o_beach_1c.bmp, o_beach_1ac.png, , ,99.609375
forest\o_sky_1a.bmp, o_sky_1ac.png, , ,99.8046875
forest\obs_1a.bmp, hill_1a.png, , ,100
forest\sky_1a.bmp, sky_1a.png, , ,99.8046875
forest\sky_2a.bmp, sky_2b.png, , ,99.8046875
forest\sky_2b.bmp, sky_2b.png, , ,99.8046875
forest\sky_3a.bmp, sky_3a.png, , ,99.21875
forest\sky_4a.bmp, sky_4b.png, , ,99.609375
forest\sky_4b.bmp, sky_4b.png, , ,99.609375
forest\well_1a.bmp, well_1af.png, , ,99.70703125
forest\well_1an.bmp, well_1ar.png, , ,99.609375
forest\well_1ar.bmp, well_1a.png, , ,99.8046875
forest\well_1b.bmp, well_1bf.png, , ,100
forest\well_1bn.bmp, well_1br.png, , ,100
forest\well_1br.bmp, well_1b.png, , ,99.8046875
forest\well_1c.bmp, well_1bf.png, , ,100
forest\well_1cn.bmp, well_1br.png, , ,100
forest\well_1cr.bmp, well_1b.png, , ,99.8046875
garden\different_garden1a.bmp, different_garden1a.png, , ,99.8046875
garden\different_garden1b.bmp, different_garden1b.png, , ,99.8046875
garden\garden_1a.bmp, garden_1af.png, , ,99.8046875
garden\garden_1an.bmp, garden_1an.png, , ,99.8046875
garden\garden_1ar.bmp, garden_1a.png, , ,99.609375
garden\garden_1b.bmp, garden_1af.png, , ,99.8046875
garden\garden_1bn.bmp, garden_1an.png, , ,99.8046875
garden\garden_1br.bmp, garden_1a.png, , ,99.609375
garden\garden_1c.bmp, garden_1cf.png, , ,99.609375
garden\garden_1cn.bmp, garden_1cr.png, , ,99.609375
garden\garden_1cr.bmp, garden_1c.png, , ,99.8046875
garden\garden_r1a.bmp, garden_r1af.png, , ,100
